batch_recording_id	promotion_status	recording_id	canonical_recording_title	canonical_song_id	release_id	label_id	source_id	source_reference	match_basis	confidence	review_status
SRC0002-B0002-REC001	NEW	REC005517	Tanto Que No Aguanto	SONG004180	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A1	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC002	NEW	REC005518	Amapola	SONG000155	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A2	same_title_exists_but_different_source_artist_or_release_context	high	approved
SRC0002-B0002-REC003	NEW	REC005519	Mi Cocha Pechocha	SONG004181	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A3	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC004	NEW	REC005520	Sonidero	SONG004182	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A4	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC005	NEW	REC005521	La Canoa Se Va	SONG004183	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-A5	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC006	NEW	REC005522	Raza	SONG004184	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B1	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC007	NEW	REC005523	Wepa	SONG004185	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B2	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC008	NEW	REC005524	Coqueto	SONG004186	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B3	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC009	NEW	REC005525	Y Volver	SONG004187	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B4	no_exact_normalized_recording_title_match	high	approved
SRC0002-B0002-REC010	NEW	REC005526	Tierra Mala	SONG003751	REL000002	LBL000004	SRC0002	https://tiendadiscosfuentes.com/productos/vinilos/lp-la-cumbia-une-a-latinoamerica/#track-B5	same_title_exists_but_different_source_artist_or_release_context	high	approved
